location_name,language_name
Algeria,French
Algeria,Arabic
Angola,Portuguese
Azerbaijan,Azeri
Argentina,Spanish
Australia,English
Austria,German
Bahrain,Arabic
Bangladesh,Bengali
Armenia,Armenian
Belgium,French
Belgium,Dutch
Belgium,German
Bolivia,Spanish
Brazil,Portuguese
Bulgaria,Bulgarian
Myanmar (Burma),English
Cambodia,English
Cameroon,French
Canada,English
Canada,French
Sri Lanka,English
Chile,Spanish
Taiwan,Chinese (Traditional)
Colombia,Spanish
Costa Rica,Spanish
Croatia,Croatian
Cyprus,Greek
Cyprus,English
Czechia,Czech
Denmark,Danish
Ecuador,Spanish
El Salvador,Spanish
Estonia,Estonian
Finland,Finnish
France,French
Germany,German
Ghana,English
Greece,Greek
Guatemala,Spanish
Hong Kong,English
Hong Kong,Chinese (Traditional)
Hungary,Hungarian
India,English
India,Hindi
Indonesia,English
Indonesia,Indonesian
Ireland,English
Israel,Hebrew
Israel,Arabic
Italy,Italian
Cote d'Ivoire,French
Japan,Japanese
Kazakhstan,Russian
Jordan,Arabic
Kenya,English
South Korea,Korean
Latvia,Latvian
Lithuania,Lithuanian
Malaysia,English
Malaysia,Malay
Malta,English
Mexico,Spanish
Morocco,Arabic
Netherlands,Dutch
New Zealand,English
Nicaragua,Spanish
Nigeria,English
Norway,Norwegian
Pakistan,English
Pakistan,Urdu
Panama,Spanish
Paraguay,Spanish
Peru,Spanish
Philippines,English
Philippines,Tagalog
Poland,Polish
Portugal,Portuguese
Romania,Romanian
Saudi Arabia,Arabic
Senegal,French
Serbia,Serbian
Singapore,English
Singapore,Chinese (Simplified)
Slovakia,Slovak
Vietnam,English
Vietnam,Vietnamese
Slovenia,Slovenian
South Africa,English
Spain,Spanish
Sweden,Swedish
Switzerland,German
Switzerland,French
Switzerland,Italian
Thailand,Thai
United Arab Emirates,Arabic
United Arab Emirates,English
Tunisia,Arabic
Turkey,Turkish
Ukraine,Ukrainian
Ukraine,Russian
North Macedonia,Macedonian
Egypt,Arabic
Egypt,English
United Kingdom,English
United States,English
United States,Spanish
Burkina Faso,French
Uruguay,Spanish
Venezuela,Spanish